ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T07:55:08Z,case_start,E11.65,Endocrinology,,0,0,0,6,0.000,30,30,100,0
2026-04-22T07:55:22Z,game_over:ended,E11.65,Endocrinology,,0,0,0,0,0.000,17,0,74,0
