ts_utc,event,case_code,case_category,entered_code,correct,response_time_s,keystrokes,code_length,keystroke_efficiency,time_remaining_s,time_limit_s,stability,score
2026-04-22T09:03:17Z,case_start,K37,Gastroenterology,,0,0,0,3,0.000,30,30,100,0
2026-04-22T09:03:21Z,game_over:ended,K37,Gastroenterology,,0,0,0,0,0.000,26,0,92,0
2026-04-22T09:03:21Z,log_saved,,,ok::/Users/datah/Desktop/2026/compro2/ICD10_Code/data/game_logs/session_ok_20260422_160321.csv,0,0,0,0,0.000,26,30,92,0
2026-04-22T09:04:04Z,game_over:ended,L50.9,Dermatology,,0,0,0,0,0.000,30,0,100,0
